,Player,Tm,season17_18
171,Isaiah Thomas,LAL,"$6,261,395 "
172,Karl-Anthony Towns,MIN,"$6,216,840 "
173,Ben Simmons,PHI,"$6,168,840 "
174,Joel Embiid,PHI,"$6,100,266 "
175,Spencer Hawes,MIL,"$6,021,175 "
176,Josh McRoberts,DAL,"$6,021,175 "
177,Ish Smith,DET,"$6,000,000 "
178,Alan Williams,PHO,"$6,000,000 "
179,Shelvin Mack,ORL,"$6,000,000 "
180,Milos Teodosic,LAC,"$6,000,000 "
181,Ersan Ilyasova,ATL,"$6,000,000 "
182,Dewayne Dedmon,ATL,"$6,000,000 "
183,Tyler Johnson,MIA,"$5,881,260 "
184,Wesley Johnson,LAC,"$5,881,260 "
185,Alex Abrines,OKC,"$5,725,000 "
186,Jayson Tatum,BOS,"$5,645,400 "
187,D'Angelo Russell,BRK,"$5,562,360 "
188,Brandon Ingram,LAL,"$5,519,400 "
189,Patrick Beverley,LAC,"$5,513,514 "
190,Aaron Gordon,ORL,"$5,504,420 "
191,Deron Williams,BRK,"$5,500,000 "
192,Josh Smith,DET,"$5,400,000 "
193,Thabo Sefolosha,UTA,"$5,250,000 "
194,Jason Smith,WAS,"$5,225,000 "
195,Ben McLemore,MEM,"$5,200,000 "
196,Patrick Patterson,OKC,"$5,192,000 "
197,Nick Young,GSW,"$5,192,000 "
198,Brandan Wright,MEM,"$5,179,760 "
199,Josh Jackson,PHO,"$5,090,040 "
200,Marcus Morris,BOS,"$5,000,000 "
201,Dirk Nowitzki,DAL,"$5,000,000 "
202,Greg Monroe,BOS,"$5,000,000 "
203,Mike Muscala,ATL,"$5,000,000 "
204,Jahlil Okafor,BRK,"$4,995,120 "
205,Dante Exum,UTA,"$4,992,385 "
206,Alexis Ajinca,NOP,"$4,961,798 "
207,Jaylen Brown,BOS,"$4,956,480 "
208,Jameer Nelson,DEN,"$4,736,050 "
209,Kyle Singler,OKC,"$4,666,500 "
210,Justin Holiday,CHI,"$4,615,385 "
211,De'Aaron Fox,SAC,"$4,609,200 "
212,Marcus Smart,BOS,"$4,538,020 "
213,Kristaps Porzingis,NYK,"$4,503,600 "
214,Dragan Bender,PHO,"$4,468,800 "
215,Devin Harris,DEN,"$4,402,546 "
216,Ron Baker,NYK,"$4,328,000 "
217,Jamal Crawford,MIN,"$4,328,000 "
218,Aron Baynes,BOS,"$4,328,000 "
219,Alex Len,PHO,"$4,187,599 "
220,Nerlens Noel,DAL,"$4,187,599 "
221,Jonathan Isaac,ORL,"$4,186,320 "
222,Lance Stephenson,IND,"$4,180,000 "
223,Julius Randle,LAL,"$4,149,242 "
224,Kyle O'Quinn,NYK,"$4,087,500 "
225,Mario Hezonja,ORL,"$4,078,320 "
226,Kris Dunn,CHI,"$4,046,760 "
227,Jonas Jerebko,UTA,"$4,000,000 "
228,Nemanja Bjelica,MIN,"$3,949,999 "
229,J.J. Barea,DAL,"$3,903,900 "
230,Quincy Pondexter,CHI,"$3,853,931 "
231,Lauri Markkanen,CHI,"$3,821,640 "
232,Nik Stauskas,BRK,"$3,807,146 "
233,Willie Cauley-Stein,SAC,"$3,704,160 "
234,Buddy Hield,SAC,"$3,675,480 "
235,Will Barton,DEN,"$3,533,333 "
236,Noah Vonleh,CHI,"$3,505,233 "
237,Frank Ntilikina,NYK,"$3,501,120 "
238,Nene Hilario,HOU,"$3,477,600 "
239,Zaza Pachulia,GSW,"$3,477,600 "
240,Troy Daniels,PHO,"$3,408,520 "
241,Emmanuel Mudiay,NYK,"$3,381,480 "
242,Jamal Murray,DEN,"$3,355,320 "
243,Elfrid Payton,PHO,"$3,332,340 "
244,Rajon Rondo,NOP,"$3,300,000 "
245,Doug McDermott,DAL,"$3,294,994 "
246,Jodie Meeks,WAS,"$3,290,000 "
247,Tyreke Evans,MEM,"$3,290,000 "
248,Tarik Black,HOU,"$3,290,000 "
249,Anthony Tolliver,DET,"$3,290,000 "
250,Dennis Smith,DAL,"$3,218,280 "
251,Zach LaVine,CHI,"$3,202,217 "
252,Ekpe Udoh,UTA,"$3,200,000 "
253,T.J. Warren,PHO,"$3,152,931 "
254,Stanley Johnson,DET,"$3,097,800 "
255,Marquese Chriss,PHO,"$3,073,800 "
256,Zach Collins,POR,"$3,057,240 "
257,James Ennis,DET,"$3,028,410 "
258,Seth Curry,DAL,"$3,028,410 "
259,Mindaugas Kuzminskas,NYK,"$3,025,035 "
260,Tomas Satoransky,WAS,"$3,000,000 "
261,Rajon Rondo,CHI,"$3,000,000 "
262,Lucas Nogueira,TOR,"$2,947,305 "
263,Jusuf Nurkic,POR,"$2,947,305 "
264,Malik Monk,CHO,"$2,904,480 "
265,Frank Kaminsky,CHO,"$2,847,600 "
266,Andrew Nicholson,POR,"$2,844,429 "
267,Jakob Poeltl,TOR,"$2,825,640 "
268,Luke Kennard,DET,"$2,759,280 "
269,Justise Winslow,MIA,"$2,705,040 "
270,Michael Carter-Williams,CHO,"$2,700,000 "
271,Thon Maker,MIL,"$2,684,160 "
272,Cedi Osman,CLE,"$2,642,857 "
273,Donovan Mitchell,UTA,"$2,621,280 "
274,Myles Turner,IND,"$2,569,920 "
275,Gary Harris,DEN,"$2,550,055 "
276,Domantas Sabonis,IND,"$2,550,000 "
277,Manu Ginobili,SAS,"$2,500,000 "
278,Reggie Bullock,DET,"$2,500,000 "
279,Richard Jefferson,ATL,"$2,500,000 "
280,Malcolm Delaney,ATL,"$2,500,000 "
281,Bam Adebayo,MIA,"$2,490,360 "
282,Bruno Caboclo,SAC,"$2,451,225 "
283,Ronnie Price,OKC,"$2,442,455 "
284,Trey Lyles,DEN,"$2,441,400 "
285,Dario Saric,PHI,"$2,422,560 "
286,Taurean Waller-Prince,ATL,"$2,422,560 "
287,Rodney Hood,CLE,"$2,386,864 "
288,Justin Jackson,SAC,"$2,365,560 "
289,Shabazz Napier,POR,"$2,361,360 "
290,Clint Capela,HOU,"$2,334,520 "
291,Arron Afflalo,ORL,"$2,328,652 "
292,Raymond Felton,OKC,"$2,328,652 "
293,Nick Collison,OKC,"$2,328,652 "
294,Ramon Sessions,NYK,"$2,328,652 "
295,Jarrett Jack,NYK,"$2,328,652 "
296,Jason Terry,MIL,"$2,328,652 "
297,Udonis Haslem,MIA,"$2,328,652 "
298,Dwyane Wade,MIA,"$2,328,652 "
299,David West,GSW,"$2,328,652 "
300,Richard Jefferson,DEN,"$2,328,652 "
301,Jose Calderon,CLE,"$2,328,652 "
302,Andrew Bogut,LAL,"$2,328,652 "
303,Devin Booker,PHO,"$2,319,360 "
304,Georgios Papagiannis,SAC,"$2,301,360 "
305,Dante Cunningham,BRK,"$2,300,000 "
306,Jameer Nelson,DET,"$2,262,871 "
307,Justin Patton,MIN,"$2,247,480 "
308,Guerschon Yabusele,BOS,"$2,247,480 "
309,Monta Ellis,IND,"$2,245,400 "
310,Cameron Payne,CHI,"$2,203,440 "
311,Denzel Valentine,CHI,"$2,186,400 "
312,Josh Smith,NOP,"$2,183,934 "
313,Kyle Anderson,SAS,"$2,151,704 "
314,D.J. Wilson,MIL,"$2,135,040 "
315,Matt Barnes,SAC,"$2,133,542 "
316,Derrick Rose,UTA,"$2,116,955 "
317,Marreese Speights,ORL,"$2,116,955 "
318,Michael Beasley,NYK,"$2,116,955 "
319,Aaron Brooks,MIN,"$2,116,955 "
320,Luc Mbah a Moute,HOU,"$2,116,955 "
321,JaVale McGee,GSW,"$2,116,955 "
322,Jeff Green,CLE,"$2,116,955 "
323,Tony Allen,CHI,"$2,116,955 "
324,Damien Wilkins,IND,"$2,116,955 "
325,Omri Casspi,GSW,"$2,106,470 "
326,Mario Chalmers,MEM,"$2,106,407 "
327,Darius Miller,NOP,"$2,100,000 "
328,Kelly Oubre,WAS,"$2,093,040 "
329,Juan Hernangomez,DEN,"$2,076,840 "
330,T.J. Leaf,IND,"$2,028,360 "
331,Tim Frazier,WAS,"$2,000,000 "
332,Anthony Tolliver,SAC,"$2,000,000 "
333,Terry Rozier,BOS,"$1,988,520 "
334,Luke Babbitt,MIA,"$1,974,159 "
